;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
;Pappel Maser;Poplar grained;Madrure peuplier;Madera de álamo;Radica di pioppo;Populier vlam;Poppel ådrad;Choupo
;Titan Matt;Titanium matt;Titane mat;Titán mate;Titanio opaco;Titaan mat;Titan matt;Titânio mate
;Armauflage vorn, verschiebbar;Front armrest, sliding;Accoudoir avant coulissant;Reposabrazos desplazable delantero;Bracciolo anteriore, scorrevole;Armsteun vóór, verschuifbaar;Armstöd fram, skjutbart;Apoio para braço dianteiro, ajustável
;Handbremsgriff Edelholz;Fine wood handbrake grip;"Poignée de frein à main "" bois précieux """;Empuñadura del freno de mano en madera fina;Impugnatura leva freno a mano in legno pregiato;Handremgreep edel hout;Handbromshandtag ädelträ;Punho do travão de mão em madeira preciosa
;Savannabeige;Savanna beige;Beige savane;Beige Savanna;Beige savana;Savannabeige;Savannbeige;Bege savana
;BMW DVD-System Portable;BMW portable DVD system;Système CD-DVD BMW portable;Sistema portátil de DVD BMW;Lettore DVD BMW portatile;BMW dvd-systeem portable;BMW DVD-system Portable;Sistema BMW DVD Portable
;Radionavigation BMW Indianapolis;BMW Indianapolis radio navigation;Radionavigation BMW Indianapolis;Sistema de navegación por radio Indianápolis BMW;Radionavigazione BMW Indianapolis;Radionavigatie BMW Indianapolis;Radionavigation BMW Indianapolis;Equipamento de navegação por rádio BMW Indianapolis
;CD-/DVD Aufbewahrungstasche;CD/DVD storage bag;Sac de rangement pour CD-DVD;Bolsa para CD y DVD;Borsa porta  CD/DVD;Cd-/dvd opbergtas;CD-/DVD-förvaringsväska;Mala de protecção de CD/DVD
;BMW Gepäckbox weiß, abschließbar;BMW luggage box, white, locking;Coffre pour bagages BMW blanc, verrouillable;Caja portaequipajes blanca con cierre BMW;Box portabagagli BMW bianco, con serratura;BMW bagagebox wit, afsluitbaar;BMW bagagebox vit, låsbar;Caixa porta-bagagens BMW branca com fecho
;BMW Ski- und Gepäckbox in Wagenfarbe;BMW ski and luggage box in body colour;Coffre pour skis et bagages BMW du coloris de la carrosserie;Caja portaesquís / portaequipajes universal con cierre BMW del color del vehículo;Box portasci / portabagagli BMW nel colore della vettura;BMW ski / bagagebox in carrosseriekleur;BMW skid-/bagagebox i bilens färg;Caixa porta-esquis e porta-bagagens BMW na cor do veículo
;BMW Gepäckbox in Wagenfarbe;BMW luggage box in body colour;Coffre pour bagages BMW du coloris de la carrosserie;Caja portaequipajes universal con cierre BMW del color del vehículo;Box portabagagli BMW nel colore della vettura;BMW bagagebox in carrosseriekleur;BMW bagagebox i bilens färg;Caixa porta-bagagens BMW na cor do veículo
;BMW Grundträger, abschließbar;BMW base support system, locking;Barres de toit BMW verrouillables;Soporte BMW con cierre;Supporto base BMW, con serratura;BMW basisdragers, afsluitbaar;BMW lasthållare, låsbar;Suporte básico BMW com fecho
;Skihalterungen, abschließbar;Ski holders, locking;Porte-skis verrouillable;Soporte portaesquís con cierre;Portasci con serratura;Skihouders, afsluitbaar;Skidhållare, låsbar;Porta-esquis com fecho
;Snowboardhalterung, abschließbar;Snowboard holder, locking;Porte-snowboards verrouillable;Soporte de tablas de snow con cierre;Portasnowboard, con serratura;Snowboardhouder, afsluitbaar;Snowboardhållare, låsbar;Porta-snowboard com fecho
;Ski- und Snowboard-Set, abschließbar;Ski and snowboard set, locking;Ensemble porte-skis et porte-snowboards verrouillable;Kit para esquís y tablas de snow con cierre;Set portasci/portasnowboard, con serratura;Ski- en snowboard-set, afsluitbaar;Skid- och snowboardset, låsbart;Conjunto de esquis e snowboard com fecho
;Universal-Halterung;Universal holder;Fixation universelle;Soporte universal;Supporto universale ;Universele houder;Universalhållare;Suporte universal
;Gepäckkorb;Luggage rack;Galerie à bagages;Cesta portaequipajes;Griglia portabagagli;Bagagemand;Lastkorg;Cesto porta-bagagens
;Surfboardhalterung;Surfboard holder;Porte-planche à voile;Soporte de tablas de snow;Portasurf ;Surfboardhouder;Hållare för vindsurfingbräda;Suporte de prancha de surf
;Fahrradlift;Bycycle lift;Monte-vélo;Elevador de bicicletas;Lift per biciclette;Fietslift;Cykellift;Elevador de bicicletas
;Tourenradhalterung, abschließbar;Touring cycle holder, locking;Porte-vélos de randonnée verrouillable;Portabicicletas con cierre;Portabici da turismo, con serratura ;Toerfietshouder, afsluitbaar;Cykelhållare, låsbar;Porta-bicicletas de corrida com fecho
;Adaptives Kurvenlicht;Adaptive curve light;Eclairage directionnel;Luz de adaptación a curvas;Adaptiv Light Control;Adaptief bochtenlicht;Adaptiv kurvbelysning;"""Adaptive Control Light"" (iluminação adaptativa)"
;Auspuffrohrblenden Chrom;Chrome tailpipe trims;Enjoliveurs de pot d'échappement chrome;Embellecedores del tubo de escape en cromo;Terminali di scarico cromati;Uitlaatsierstukken chroom;Avgasrörförlängare i krom;Ponteiras do tubo de escape cromadas
;Sport-Nachschalldämpfer;Sports rear silencer;Silencieux arrière sport;Silenciador trasero deportivo;Marmitta posteriore sportiva;Sportuitlaatdemper;Bakre sportljuddämpare;Silenciador secundário desportivo 
;Interieurleisten Aluminium Längsschliff;Ground aluminium interior trim strip;Insert d'habitacle alu;Revestimientos interiores con tallado longitudinal de aluminio;Modanature abitacolo in alluminio lucidato longitudinalmente;Interieurlijsten aluminium-langsgeslepen;Interiörlister aluminium längdslipade;Frisos interiores decorativos em alumínio com polimento longitudinal
;Kühltasche, elektrisch;Coolbag;Sac isotherme;Nevera portátil;Borsa frigo;Koeltas;Kylväska;Arca frigorífica eléctrica
#ABWERK;(nur ab Werk erhältlich, nicht nachrüstbar);(only available ex-works, cannot be retrofitted);(disponible uniquement en option, non disponible en deuxième monte);(sólo se encuentra disponible de fábrica, no se incluye en el equipamiento adicional);(disponibile solo dalla fabbrica, non aggiungibile a posteriori);(alleen vanaf fabriek verkrijgbaar, geen na-inbouw mogelijk);(levereras endast fabriksmonterad, kan inte eftermonteras);(fornecimento apenas de origem, sem possibilidade de montagem posterior)
;(nur ab Werk erhältlich, nicht nachrüstbar);(only available ex-works, cannot be retrofitted);(disponible uniquement en option, non disponible en deuxième monte);(sólo se encuentra disponible de fábrica, no se incluye en el equipamiento adicional);(disponibile solo dalla fabbrica, non aggiungibile a posteriori);(alleen vanaf fabriek verkrijgbaar, geen na-inbouw mogelijk);(levereras endast fabriksmonterad, kan inte eftermonteras);(fornecimento apenas de origem, sem possibilidade de montagem posterior)
;Multifunktion für Lenkräder;Multi-function package for steering wheels;Multifonction pour volants;Volante multifuncional;Multifunzione per volante;Multifunctionaliteit voor stuurwielen;Multifunktion för ratt;Equipamento multifunção para volantes
;Ablagenpaket;Storage package;Kit rangement;Bandejas;Pacchetto portaoggetti;Opbergpakket;Förvaringspaket;Conjunto de compartimentos
;Stoff-/Lederkombination;Fabric/Leather combination;Combinaison tissu-cuir;Combinación de cuero y tela;Combinazione tessuto/pelle;Stof-/ledercombinatie;Tyg-/läderkombination;Combinação tecido/pele
;Sportsitz;Sport seat;Siège sport;Asiento deportivo;Sedile sportivo;Sportstoel;Sportstol;Banco desportivo
;Leder-Lenkrad;Leather-covered steering wheel;Volant cuir;Volante en cuero;Volante in pelle;Lederen stuurwiel;Läderratt;Volante em pele
;Leder-Handbremsgriff;Leather-covered handbrake grip;Poignée de frein à main cuir;Empuñadura para la palanca del freno de mano en cuero;Impugnatura del freno a mano in pelle;Lederen handremgreep;Handbromshandtag läder;Punho do travão de mão em pele
;Handbremsgriff Edelholz;Fine wood handbrake grip;Poignée de frein à main bois précieux;Empuñaduras para la palanca del freno de mano en madera noble;Impugnatura del freno a mano in legno pregiato;Handremgreep edelhout;Handbromshandtag ädelträ;Punho do travão de mão em madeira preciosa
;Stoff;Fabric/Leather combination;Tissu;Tela;Tessuto;Stof;Tyg;Tecido
;Leder;Leather;Cuir;Cuero;Pelle;Leder;Läder;Pele
;Grundträger;Basic rack;Barres de toit;Soporte principal;Supporto base;Basisdrager;Lasthållare;Suporte básico
;Buggy für Baby Seat;Buggy for Baby Seat;Poussette pour Baby Seat;Buggy para Baby Seat;Passeggino per Baby Seat;Buggy voor Baby Seat;Buggy för Baby Seat;"""Buggy"" para cadeira de criança “Baby-Seat”"
;BMW Baby Seat 0+;BMW Baby Seat 0+;BMW Baby Seat 0+;BMW Baby Seat 0+;BMW Baby Seat 0+;BMW Baby Seat 0+;BMW Baby Seat 0+;Cadeira de bebé BMW Baby Seat 0+ 
;BMW Juniorseat I-II;BMW Junior Seat I-II;BMW Juniorseat I-II;BMW Juniorseat I-II;BMW Juniorseat I-II;BMW Juniorseat I-II;BMW Juniorseat I-II;Cadeira BMW Junior Seat I-II
;BMW Junior Seat II;BMW Junior Seat II;BMW Juniorseat II;BMW Juniorseat II;BMW Juniorseat II;BMW Juniorseat II;BMW Juniorseat II;Cadeira BMW Junior Seat II
;BMW Juniorseat III;BMW Junior Seat III;BMW Juniorseat III;BMW Juniorseat III;BMW Juniorseat III;BMW Juniorseat III;BMW Juniorseat III;Cadeira BMW Junior Seat III
;(in Verbindung mit Bordmonitor);(in conjunction with on-board monitor);(en association avec le moniteur de bord);(junto con el monitor de a bordo);(in combinazione con monitor di bordo);(in verbinding met boormonitor);(i samband med färdmonitor);(em ligação com o monitor de bordo)
;(Serie);(Standard);(de série);(Serie);(di serie);(serie);(standard);(Série)
;(Serienwählhebel);(Standard selector lever);(sélecteur de boîte de série);(Empuñadura de serie para la palanca de cambio automático);(cambio automatico di serie);(serie-keuzehendel);(standard-växelväljarhandtag);(Alavanca de mudanças de caixa automática de série)
;(Serienschaltknauf);(Standard gearshift knob);(pommeau de levier de vitesses de série);(Empuñadura de serie para la palanca de cambio manual);(pomello del cambio di serie);(serie-versnellingsknop);(standard-växelspaksknopp);(Punho de mudanças de série)
;(Serienlenkrad);(Standard steering wheel);(volant de série);(Volante de serie);(volante di serie);(serie-stuurwiel);(standardratt);(Volante de série)
;Radvollabdeckung;Full hub cap;Recouvrement de roue intégral;Recubrimiento de rueda;Copriruota;Wieldop;Hjul med helkåpa;Cobertura integral da roda
;Sitzheizung;Seat heating system;Chauffage de siège;Calefacción para asientos;Riscaldamento dei sedili;Stoelverwarming;Stolvärme;Aquecimento do banco
;Fahrradlift;Cycle lift;Monte-vélo;Elevador de bicicletas;Lift per bicicletta;Fietslift;Cykellift;Elevador de bicicletas
;Panorama-Ansicht;Panoramic view;Vue panoramique;Vista panorámica;Veduta panoramica;Panorama-aanzicht;Panoramatak;Vista panorâmica
#PanoHint1;Zum Drehen bitte linke Maustaste gedrückt halten und ziehen;To revolve, hold the left mouse button and drag it;Pour tourner, maintenir enfoncé le bouton gauche de la souris et tirer;Para girar, mantener pulsado y soltar el botón izquierdo del ratón;per ruotare, tenere premuto il tasto sinistro del mouse e trascinare;Voor draaien: linker muistoets a.u.b. ingedrukt houden en trekken;För att vrida bilden, tryck ned höger musknapp och dra;Para rodar, mantenha o botão esquerdo do rato premido e arraste
#PanoHint2;Zum Vergrößern bzw. Verkleinern rechte Maustaste gedrückt halten und ziehen;To enlarge or reduce the image, hold the right mouse button and drag it;Pour agrandir ou pour réduire, maintenir enfoncé le bouton droit de la souris et tirer;Para aumentar o disminuir, mantener pulsado y soltar el botón derecho del ratón;per ingrandire o ridurre, tenere premuto il tasto destro del mouse e trascinare;Voor vergroten resp. Verkleinen: rechter muistoets ingedrukt houden en trekken;För att förstora eller förminska bilden, tryck ned höger musknapp och dra;Para ampliar ou reduzir mantenha o botão direito do rato premido e arraste
;Navigationssystem Professional;Navigation system Professional;Système de navigation Professional;Sistema de navegación Professional;Sistema di navigazione Professional;Navigatiesysteem Professional;Navigationssystem Professional;Sistema de navegação Professional
;Windschutz;Wind deflector;Filet anti-remous;Deflector de viento;Deflettore;Windafleider;Vindskydd;Pára-vento
;Leder-Sportlenkradkranz mit Dekorblende M-Sport;Leather-covered sport steering wheel with M-Sport decor trim;Couronne de volant sport avec insert décoratif M Sport;Corona del volante deportivo de cuero con embellecedor M-Sport;"Corona per volante sportivo in pelle con mascherina decorativa 
M-Sport";Lederen sportstuurwielrand met sierafdekking M-sport;"Lädersportratt med 
rattklyka M-Sport";Coroa de volante desportivo em pele com friso decorativo Sport M
;Chrome line Lenkradkranz;Chrome line steering wheel rim ;Couronne de volant Chrome Line;Corona del volante cromada;Corona per volante Chrome line ;Chrome line sportstuurwielrand;Ratt Chrome Line;Coroa de volante Chrome Line
;Handbremsgriff Leder;Leather handbrake grip;Poignée de frein à main en cuir;Empuñadura de la palanca del freno en cuero;Impugnatura freno a mano in pelle;Handremgreep leer;Handbromshandtag i läder;Punho do travão de mão em pele
;Edelholz Amerikanisch Nussbaum;American walnut fine wood;Bois précieux noyer américain;Madera fina de nogal americano;Legno pregiato americano radica di noce;Edelhout Amerikaans noten;Ädelträ amerikansk valnöt;Madeira preciosa, raiz de nogueira americana
;Edelholz Vavona Grau matt;Vavona grey matt fine wood;Bois précieux vavona gris mat;Madera fina de vavona gris mate;Legno pregiato Vavona grigio opaco;Edelhout Vavona mat grijs;Ädelträ Vavona grå matt;Madeira preciosa, vavona cinzento mate
;Edelholz Esche Maser hell;Ash grain light fine wood;Bois précieux frêne veiné clair;Madera fina de fresno veteado claro;Legno pregiato radica di frassino chiara;Edelhout essen, licht gevlamd;Ädelträ ask Maser ljus;Madeira preciosa, carvalho claro
;Edelholz Esche Maser dunkel;Ash grain dark fine wood;Bois précieux frêne veiné foncé;Madera fina de fresno veteado oscuro;Legno pregiato radica di frassino scura;Edelhout essen, donker gevlamd;Ädelträ ask Maser mörk;Madeira preciosa, carvalho escuro
;Nussbaum-Wurzelholz, mit Intarsien;Burr walnut with intarsia work;Ronce de noyer marquetée;Madera de raíz de nogal con incrustaciones;Radica di noce, con intarsi;Notenboom-wortelhout, met inlegwerk;Valnötsrot, med intarsia;Raiz de nogueira com embutidos
;Dachträgersysteme;Roof rack systems;Systèmes de barres de toit;Sistemas portaequipajes ;Sistemi di carico da tetto;Dakdragersystemen;Lasthållarsystem;Sistemas de porta-bagagens de tejadilho
;Gepäckraumsysteme;Boot systems;Systèmes pour coffre;Sistemas de maletero;Sistemi per bagagliaio;Bagageruimtesystemen;Bagagerumssystem;Sistemas de porta-bagagens
;Ski- und Snowboardhalterung, abschließbar;Ski and snowboard holder, locking;Porte-skis et porte-snowboards verrouillables;Soporte para esquíes y tablas de snowboard, con cerradura;Portasci e portasnowboard, con serratura a chiave;Ski- en snowboardhouder, afsluitbaar;Skid- och snowboardhållare, låsbar;Porta-esquis e porta-snowbord com fecho
;Kindersitze;Child seats;Sièges enfant;Asientos para niños;Seggiolini per bambini;Kinderzitjes;Barnstol;Cadeiras de criança
;BMW Baby-Seat 0+ (mit oder ohne ISOFIX);BMW Baby-Seat 0+ (with or without ISOFIX);BMW Baby-Seat 0+ (avec ou sans ISOFIX);Asiento BMW Baby-Seat 0+ (con o sin ISOFIX);BMW Baby-Seat 0+ con o senza ISOFIX);BMW Baby-Seat 0+ (met of zonder ISOFIX);BMW Baby-Seat 0+ (med eller utan ISOFIX);Cadeira de bebé BMW Baby Seat 0+ (com ou sem ISOFIX)
;BMW Junior Seat I-II (mit oder ohne ISOFIX);BMW Junior Seat I-II (with or without ISOFIX);BMW Junior Seat I-II (avec ou sans ISOFIX);Asiento BMW Junior Seat I-II (con o sin ISOFIX);BMW Junior Seat I-II con o senza ISOFIX);BMW Junior Seat I-II (met of zonder ISOFIX);BMW Junior Seat I-II (med eller utan ISOFIX);Cadeira de bebé BMW Junior Seat I-II (com ou sem ISOFIX)
;BMW Junior Seat III;BMW Junior Seat III;BMW Junior Seat III;Asiento BMW Junior Seat III;BMW Junior Seat III;BMW Junior Seat III;BMW Junior Seat III;Cadeira de criança BMW Junior Seat III
;Arktis;Arctic;Arktis;Arktis;Arktis;Arktis;Arktis;Arktis
;Monacoblau;Monaco blue;Monacoblau;Monacoblau;Monacoblau;Monacoblau;Monacoblau;Monacoblau
;Fluid;Fluid;Fluide;Fluido;Fluido;Fluid;Fluid;Fluid
;Anthrazit/Schwarz;Anthracite/Black;Anthracite/noir;Antracita/Negro;Antracite/Nero;Antraciet/zwart;Antracit/Svart;Antracite/preto
;Flanellgrau/Flanellgrau;Flannel grey/Flannel grey;Gris flanelle-gris flanelle;Gris franela/Gris franela;Grigio flanella/Grigio flanella;Flanelgrijs/flanelgrijs;Flanellgrå/Flanellgrå;Cinzento flanela/cinzento flanela
;Schwarz/Schwarz;Black/Black;Noir-noir;Negro/Negro;Nero/Nero;Zwart/zwart;Svart/Svart;Preto/preto
;Leder Nasca;Nasca leather;Cuir Nasca;Cuero nasca;Pelle Nasca;Leer Nasca;Läder Nasca;Pele Nasca
;Lavablau/Schwarz;Lava blue/Black;Bleu lave-noir;Azul lava/Negro;Blu lava/Nero;Lavablauw/zwart;Lavablå/Svart;Azul lava/preto
;Creambeige/Schwarz;Cream beige/Black;Beige crème-noir;Beige crema/Negro;Beige crema/Nero;Creambeige/zwart;Gräddbeige/Svart;Bege Cream/preto
;Vollleder Club;Club full leather;Cuir vachette Club;Cuero entero Club;Pelle Club;Volleder Club;Helläder Club;Pele integral Club
;Leder Pearl;Pearl leather;Cuir Pearl;Cuero perlado;Pelle Pearl;Leer Pearl;Läder Pearl;Pele Pearl
;Holz/Leder-Lenkrad;Wood/leather-covered steering wheel;Volant bois-cuir;Volante de madera/cuero;Volante in legno/pelle;Houten/leren stuurwiel;Trä-/läderratt;Volante em madeira/pele
;Multifunktionales Ablagesystem;Multi-functional storage system;Système de rangement multifonction;Sistema de bandeja multifuncional;Sistema di alloggiamento multifunzione;Multifunctioneel opbergsysteem;Multifunktionssystem för förvaring;Sistema de compartimentos multifuncional
;Sportsitz;Sport seat;Siège sport;Asiento deportivo;Sedile sportivo;Sportstoel;Sportstol;Banco desportivo
;Sportsitze;Sport seate;Sièges sport;Asiento deportivos;Sedile sportivos;Sportstoel;Sportstol;Bancos desportivos
;Fahrradhalterung für die Anhängerkupplung;Cycle rack for the towing hitch;Porte-vélos pour dispositif d'attelage;Soporte de bicicletas para el enganche del remolque;Portabici per il gancio di traino ;Fietshouder voor trekhaaksysteem;Cykelhållare för släpvagnskoppling;Porta-bicicletas para o dispositivo de engate do reboque
;Individual Hochglanz Shadow Line;Individual high gloss shadowline;Individual Shadow Line haute brillance;Individual Shadow Line;Shadow Line esterna lucida;Individual Shadow Line;Individual Shadow Line;Brilho individual Shadow Line
;Carbonteile für Frontschürze;Carbon parts for front apron;Eléments en carbone pour jupe avant;Piezas de carbono para faldón delantero;Componenti in carbonio per grembialatura frontale;Carbon onderdelen voor voorskirt;Kolfiberdelar för frontspoiler;Componentes de carbono para a saia dianteira
;Individual Hochglanz Shadowline;Individual Shadowline high gloss;Shadowline poli miroir Individual;Shadowline individual de gran brillo;Shadowline lucida singola;Individual hoogglans Shadowline;Individuell högglans Shadowline;Brilho individual Shadow Line
;Heckleuchten Blackline;Blackline tail lights;Feux arrière Blackline;Luces traseras Blackline;Luci posteriori con fascia nera;Achterlichten Blackline;Bakljus Blackline;Faróis traseiros Black Line 
;Interieurleisten Alu Shadow gebürstet;Alu Shadow brushed interior trim strips;Inserts d'habitacle brossés alu Shadow ;Equipamiento interior Alu Shadow cepillado;Modanature interne con microfinitura in alluminio spazzolato;Interieurlijsten Alu Shadow geborsteld;Interiörlister Shadow borstat aluminium ;Frisos interiores decorativos em alumínio escovado Shadow 
;Interieurleisten Moongray;Moon grey interior trim strips;Inserts d'habitacle Moongray;Equipamiento interior Moongray;Modanature interne moongray;Interieurlijsten Moongray;Interiörlister Moongray;Frisos interiores decorativos Moongray
;Leder-Sportlenkradkranz mit Dekorblende M-Sport;Leather-covered sports steering wheel hub with M Sport decorative trim;Couronne de volant sport en cuir avec insert décoratif M-Sport;Volante deportivo de cuero con embellecedor de salpicadero M-Sport;Corona del comando dello sterzo sportivo in pelle con mascherina decorativa centrale - Sport;Lederen sportstuurwiel met sierpaneel M-Sport;Lädersportrattkrans med dekorpanel M-sport;Coroa de volante desportivo em pele com friso decorativo Sport M
;Leder-Wählhebelgriff mit Holzspange, Sennesche;Leather-covered selector lever grip with wooden clasp, ash;Pommeau de sélecteur de boîte automatique en cuir avec insert en bois, en cassier;Palanca de cambio de cuero con franja de madera, madera de sen;Pomello del cambio automatico con inserto in legno, frassino;Lederen keuzehendel met kassia-essenhouten sierrand;Läderväxelhandtag med dekorspänne, ask;Punho da caixa automática com friso de madeira de carvalho
;BMW Radio Business CD;BMW Radio Business CD;Radio-CD Business BMW ;BMW Radio Business CD;Radio Business CD BMW;BMW radio Business CD;BMW radio Business CD;Rádio BMW Business com leitor de CD
;BMW Radio Professional CD;BMW Radio Professional CD;Radio-CD Professional BMW ;BMW Radio Professional CD;Radio Professional CD BMW;BMW radio Professional CD;BMW radio Professional CD;Rádio BMW Professional com leitor de CD
;BMW Radio Business Kassette;BMW Radio Business Cassette;Radio-cassette Business  BMW ;BMW Radio Business Cassette;Radio Business con lettore cassette BMW;BMW radio Business cassette;BMW radio Business kassett;Rádio BMW Business com leitor de cassetes
;BMW Radio Professional MD;BMW Radio Professional MD;Radio-MD Professional BMW ;BMW Radio Professional MD ;Radio Professional MD BMW;BMW radio Professional MD;BMW radio Professional MD;Rádio BMW Professional com leitor de MD
;Bordmonitor;On-board monitor;Moniteur de bord;Monitor de a bordo;Monitor di bordo;Boordmonitor;Bilmonitor;Monitor de bordo
;Frontkamera einzeln;Front camera, single;Caméra frontale uniquement;Cámara delantera individual;Telecamera anteriore separata;Frontcamera los;Frontkamera enstaka;Câmara frontal individual
;Rückfahrkamera einzeln;Reversing camera, single;Caméra de recul uniquement;Cámara de marcha atrás individual ;Telecamera posteriore separata;Achteruitrijcamera los;Backkamera enstaka;Câmara traseira individual
;BMW Baby-Seat 0+;BMW Baby-Seat 0+;BMW Baby-Seat 0+;BMW Baby Seat 0+;Baby-Seat 0+ BMW;BMW Baby Seat 0+;BMW Baby Seat 0+;Cadeira de bebé Baby Seat 0+ 
;BMW Junior Seat I-II;BMW Junior Seat I-II;BMW Junior Seat I-II;BMW Junior Seat I-II;Junior Seat I-II BMW;BMW Junior Seat I-II;BMW Junior Seat I-II;Cadeira BMW Junior Seat I-II ISOFIX
;Park Distance Control Low;Park Distance Control Low;Park Distance Control Low;Control de distancia de estacionamiento Bajo;Park Distance Control basso;Park Distance Control Low;Park Distance Control Low;Sistema Park Distance Control Low (PDCL)
;Sierrarot;Sierra red;Sierrarot;Sierrarot;Sierrarot;Sierrarot;Sierrarot;Sierrarot
;Sorrentblau;Sorrent blue;Sorrentblau;Sorrentblau;Sorrentblau;Sorrentblau;Sorrentblau;Sorrentblau
;Kirunaviolett;Kiruna violet;Kirunaviolett;Kirunaviolett;Kirunaviolett;Kirunaviolett;Kirunaviolett;Kirunaviolett
;Orinocco;Orinocco;Orinocco;Orinocco;Orinocco;Orinocco;Orinocco;Orinocco
;Apricot;Apricot;Apricot;Apricot;Apricot;Apricot;Apricot;Apricot
;Criollorot;Criollo red;Criollorot;Criollorot;Criollorot;Criollorot;Criollorot;Criollorot
;Michiganblau;Michigan blue;Michiganblau;Michiganblau;Michiganblau;Michiganblau;Michiganblau;Michiganblau
;Barberarot;Barbera red;Barberarot;Barberarot;Barberarot;Barberarot;Barberarot;Barberarot
;Barriquerot;Barrique red;Barriquerot;Barriquerot;Barriquerot;Barriquerot;Barriquerot;Barriquerot
;Tiefgrün;Deep green;Tiefgrün;Tiefgrün;Tiefgrün;Tiefgrün;Tiefgrün;Tiefgrün
;Blau;Blue;Blau;Azul;Blu;Blauw;Blå;Azul
;Quarzgrau;Quartz grey;Quarzgrau;Gris cuarzo;Grigio quarzo;Kwartsgrijs;Kvartsgrå;Cinzento quartzo
;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota
;Lemon;Lemon;Lemon;Limón;Lemon;Lemon;Lemon;Lemon
;Terra;Terra;Terra;Terra;Terra;Terra;Terra;Terra
;Aerodynamik-Komponenten;Aerodynamic components;Eléments aérodynamiques;Componentes aerodinámicos;Componenti aerodinamici;Aërodynamica-onderdelen;Aerodynamikkomponenter;Componentes aerodinâmicos
;Aufsatzteile Frontschürze;Front apron parts;Pièces de recouvrement de jupe avant;Piezas adicionales de faldón delantero ;Componenti grembialatura anteriore;Bekledingspanelen voorskirt;Påbyggnadsdelar frontspoiler;Acessórios para a saia dianteira
;Aufsatzteile Heckschürze;Rear apron parts;Pièces de recouvrement de jupe arière;Piezas adicionales de faldón posterior;Componenti grembialatura posteriore;Bekledingspanelen achterskirt;Påbyggnadsdelar nedre bakspoiler;Acessórios para a saia traseira
;Aufsatzteile für M-Aerodynamikpaket;Mounted parts for M aerodynamic package;Pièces de recouvrement pour kit aérodynamique M;Piezas adicionales para paquete aerodinámico con técnica M;Componenti per pacchetto aerodinamico M;Bekledingspanelen voor M-aërodynamicapakket;Påbyggnadsdelar M-aerodynamikpaket;Acessórios para o pacote aerodinâmico M
;Stoßleisten;Rubbing strips;Baguettes de protection;Listón de choques;Listelli paracolpi;Stootlijsten;Skyddslister;Barras de protecção
;Stoßleisten (Türen);Rubbing strips (doors);Baguettes de protection (portières);Listón de choques (puertas);Listelli paracolpi (portiere);Stootlijsten (portieren);Skyddslister (dörrar);Barras de protecção (portas)
;Diffusor;Diffusor;Diffusor;Diffusor;Diffusor;Diffusor;Diffusor;Diffusor
